subjID	type	choice	reward
1	12	0	0
1	56	1	0
1	34	0	0
1	34	1	1
1	12	1	1
1	56	1	0
1	56	0	1
1	12	1	1
1	34	1	0
1	56	0	0
1	34	0	1
1	12	1	1
1	56	0	1
1	12	1	1
1	34	1	1
1	34	1	0
1	56	0	0
1	12	1	1
1	56	0	0
1	12	1	1
1	34	1	1
1	56	0	0
1	34	1	1
1	12	1	1
1	56	0	0
1	34	1	1
1	12	1	1
1	12	1	1
1	34	1	0
1	56	0	0
1	12	1	1
1	56	0	1
1	34	1	1
1	12	1	1
1	56	0	0
1	34	1	0
1	12	1	1
1	56	0	1
1	34	1	1
1	12	1	1
1	34	1	0
1	56	0	1
1	34	1	1
1	12	1	0
1	56	0	0
1	12	0	0
1	34	1	0
1	56	0	1
1	56	0	0
1	12	1	1
1	34	1	1
1	56	0	0
1	34	1	1
1	12	0	0
1	34	1	1
1	56	0	1
1	12	0	0
1	56	0	1
1	34	1	1
1	12	1	1
1	34	1	0
1	12	1	1
1	56	0	1
1	56	0	1
1	34	1	0
1	12	1	1
1	12	1	1
1	34	1	1
1	56	0	1
1	56	0	1
1	12	0	1
1	34	0	1
1	56	0	0
1	34	1	0
1	12	1	1
1	12	1	0
1	34	1	1
1	56	0	1
1	34	1	0
1	12	1	0
1	56	0	1
1	12	1	0
1	56	0	0
1	34	1	0
1	34	1	1
1	56	0	0
1	12	1	1
1	34	1	1
1	12	1	0
1	56	0	1
1	12	1	1
1	34	1	1
1	56	0	0
1	12	1	1
1	56	0	0
1	34	1	1
1	56	0	1
1	12	1	1
1	34	1	0
1	56	0	1
1	12	0	0
1	34	1	0
1	34	0	0
1	12	0	0
1	56	0	0
1	34	1	1
1	56	0	1
1	12	1	1
1	56	0	1
1	12	1	1
1	34	1	1
1	12	1	1
1	56	0	0
1	34	1	0
1	12	1	0
1	34	1	1
1	56	0	1
1	12	1	1
1	56	0	1
1	34	1	1
1	34	1	0
1	12	1	1
1	56	0	1
1	56	0	0
1	34	1	0
1	12	1	1
1	12	1	1
1	56	0	1
1	34	1	1
1	12	1	1
1	56	0	0
1	34	0	0
1	56	0	0
1	34	1	1
1	12	1	1
1	56	0	0
1	12	1	1
1	34	1	1
1	56	0	0
1	12	1	1
1	34	1	1
1	34	1	0
1	56	0	0
1	12	1	0
1	56	0	0
1	12	1	1
1	34	1	1
1	34	0	0
1	12	1	1
1	56	0	0
1	34	1	0
1	56	0	0
1	12	1	1
1	34	1	1
1	56	0	0
1	12	1	1
1	12	1	1
1	56	0	1
1	34	1	1
1	34	1	1
1	12	1	1
1	56	0	0
1	34	1	1
1	12	1	1
1	56	0	0
1	34	1	0
1	56	0	1
1	12	1	0
1	34	1	0
1	56	0	0
1	12	1	1
1	12	1	1
1	56	0	0
1	34	1	1
1	12	1	0
1	34	1	0
1	56	0	0
1	12	1	1
1	56	0	0
1	34	1	1
1	56	0	1
1	12	1	1
1	34	1	1
1	56	0	0
1	34	1	1
1	12	1	1
1	12	1	0
1	34	1	1
1	56	0	0
1	12	1	1
1	34	1	1
1	56	0	0
1	12	1	1
1	56	0	1
1	34	1	0
1	56	0	0
1	34	1	0
1	12	1	0
1	56	1	1
1	12	0	0
1	34	1	1
1	56	0	1
1	34	1	0
1	12	0	1
1	12	1	0
1	56	0	1
1	34	1	1
1	34	1	0
1	12	1	1
1	56	0	0
1	56	1	1
1	34	1	1
1	12	1	1
1	12	1	0
1	56	0	0
1	34	0	0
1	34	1	1
1	56	0	0
1	12	1	1
1	12	1	1
1	56	0	1
1	34	0	0
1	56	0	1
1	34	1	0
1	12	1	1
1	34	1	1
1	56	0	1
1	12	1	0
1	12	1	1
1	56	0	0
1	34	1	0
1	56	0	0
1	12	1	0
1	34	1	1
1	56	0	1
1	12	1	1
1	34	0	0
1	56	1	1
1	12	1	1
1	34	1	1
1	56	0	0
1	34	0	1
1	12	1	1
1	56	1	0
1	12	1	1
1	34	1	1
1	12	1	1
1	34	1	1
1	56	0	1
1	56	1	1
1	12	1	1
1	34	1	1
1	56	0	1
1	34	0	0
1	12	1	1
1	34	1	1
1	12	1	1
1	56	1	0
1	34	1	1
1	12	1	1
1	56	0	0
1	12	1	1
1	56	0	0
1	34	1	1
1	34	1	1
1	12	1	1
1	56	0	0
1	34	1	1
1	12	1	1
1	56	0	1
1	12	1	1
1	34	1	1
1	56	0	1
1	34	1	0
1	56	0	0
1	12	1	1
1	12	1	0
1	34	0	0
1	56	0	1
1	56	0	1
1	34	1	1
1	12	1	1
1	34	1	0
1	12	1	1
1	56	0	0
1	56	0	0
1	34	1	0
1	12	1	1
1	56	0	0
1	12	1	1
1	34	1	1
1	12	1	1
1	34	1	1
1	56	0	0
1	12	1	1
1	56	0	0
1	34	1	0
1	12	1	0
1	56	0	0
1	34	0	0
1	34	1	1
1	12	1	1
1	56	0	0
1	56	0	1
1	12	1	1
1	34	1	1
1	34	1	0
1	56	0	1
1	12	1	1
1	12	1	1
1	56	0	1
1	34	1	1
1	12	1	1
1	34	1	1
1	56	0	1
1	34	1	1
1	56	0	0
1	12	1	1
1	12	1	1
1	34	1	1
1	56	0	1
1	12	1	1
1	34	1	1
1	56	0	1
1	12	1	1
1	34	1	0
1	56	0	0
1	34	1	1
1	12	1	0
1	56	0	0
1	34	1	1
1	56	0	0
1	12	1	1
1	34	1	1
1	12	1	1
1	56	0	1
1	12	1	1
1	56	0	1
1	34	1	1
1	56	0	0
1	12	1	1
1	34	1	1
1	12	1	0
1	34	1	0
1	56	0	0
1	12	1	0
1	56	0	1
1	34	1	1
1	12	1	1
1	34	1	1
1	56	0	0
1	34	1	0
1	12	1	1
1	56	0	0
1	12	1	1
1	34	1	0
